filename,total_blocks,ratio_ones,decoded_bit,expected_bit,is_correct
177_269205_dwt_dct_wm.png,1024,0.8505859375,1,1,1
178_269230_dwt_dct_wm.png,1024,0.8447265625,1,1,1
179_269231_dwt_dct_wm.png,1024,0.8837890625,1,1,1
17_250085_dwt_dct_wm.png,1024,0.859375,1,1,1
180_269246_dwt_dct_wm.png,1024,0.8623046875,1,1,1
181_269299_dwt_dct_wm.png,1024,0.861328125,1,1,1
182_269304_dwt_dct_wm.png,1024,0.8193359375,1,1,1
183_269380_dwt_dct_wm.png,1024,0.8505859375,1,1,1
184_269479_dwt_dct_wm.png,1024,0.9072265625,1,1,1
185_269584_dwt_dct_wm.png,1024,0.8330078125,1,1,1
186_269798_dwt_dct_wm.png,1024,0.861328125,1,1,1
187_269876_dwt_dct_wm.png,1024,0.7939453125,1,1,1
188_269900_dwt_dct_wm.png,1024,0.8466796875,1,1,1
189_270261_dwt_dct_wm.png,1024,0.8759765625,1,1,1
18_250163_dwt_dct_wm.png,1024,0.8525390625,1,1,1
190_270281_dwt_dct_wm.png,1024,0.8857421875,1,1,1
191_270313_dwt_dct_wm.png,1024,0.859375,1,1,1
192_270318_dwt_dct_wm.png,1024,0.873046875,1,1,1
193_270350_dwt_dct_wm.png,1024,0.8681640625,1,1,1
194_270584_dwt_dct_wm.png,1024,0.8486328125,1,1,1
195_270633_dwt_dct_wm.png,1024,0.8115234375,1,1,1
196_270657_dwt_dct_wm.png,1024,0.8837890625,1,1,1
197_271017_dwt_dct_wm.png,1024,0.900390625,1,1,1
198_271255_dwt_dct_wm.png,1024,0.8427734375,1,1,1
199_271346_dwt_dct_wm.png,1024,0.8837890625,1,1,1
19_250180_dwt_dct_wm.png,1024,0.8427734375,1,1,1
1_248419_dwt_dct_wm.png,1024,0.8671875,1,1,1
200_271609_dwt_dct_wm.png,1024,0.8134765625,1,1,1
201_271927_dwt_dct_wm.png,1024,0.876953125,1,1,1
202_271955_dwt_dct_wm.png,1024,0.853515625,1,1,1
203_272020_dwt_dct_wm.png,1024,0.85546875,1,1,1
204_272096_dwt_dct_wm.png,1024,0.822265625,1,1,1
205_272547_dwt_dct_wm.png,1024,0.8623046875,1,1,1
206_272625_dwt_dct_wm.png,1024,0.8701171875,1,1,1
207_272740_dwt_dct_wm.png,1024,0.845703125,1,1,1
208_272882_dwt_dct_wm.png,1024,0.8349609375,1,1,1
209_273005_dwt_dct_wm.png,1024,0.8427734375,1,1,1
20_250309_dwt_dct_wm.png,1024,0.8544921875,1,1,1
210_273258_dwt_dct_wm.png,1024,0.861328125,1,1,1
211_273290_dwt_dct_wm.png,1024,0.8701171875,1,1,1
212_273367_dwt_dct_wm.png,1024,0.8515625,1,1,1
213_273373_dwt_dct_wm.png,1024,0.8779296875,1,1,1
214_273791_dwt_dct_wm.png,1024,0.849609375,1,1,1
215_273873_dwt_dct_wm.png,1024,0.87890625,1,1,1
216_273899_dwt_dct_wm.png,1024,0.8623046875,1,1,1
217_273911_dwt_dct_wm.png,1024,0.8515625,1,1,1
218_274293_dwt_dct_wm.png,1024,0.8955078125,1,1,1
219_274362_dwt_dct_wm.png,1024,0.8349609375,1,1,1
21_250313_dwt_dct_wm.png,1024,0.875,1,1,1
220_274373_dwt_dct_wm.png,1024,0.775390625,1,1,1
221_274417_dwt_dct_wm.png,1024,0.87109375,1,1,1
222_274595_dwt_dct_wm.png,1024,0.8017578125,1,1,1
223_274724_dwt_dct_wm.png,1024,0.83984375,1,1,1
224_274830_dwt_dct_wm.png,1024,0.8173828125,1,1,1
225_274994_dwt_dct_wm.png,1024,0.880859375,1,1,1
226_275177_dwt_dct_wm.png,1024,0.876953125,1,1,1
227_275291_dwt_dct_wm.png,1024,0.8828125,1,1,1
228_275319_dwt_dct_wm.png,1024,0.86328125,1,1,1
229_275423_dwt_dct_wm.png,1024,0.8525390625,1,1,1
22_250340_dwt_dct_wm.png,1024,0.81640625,1,1,1
230_275859_dwt_dct_wm.png,1024,0.8740234375,1,1,1
231_275869_dwt_dct_wm.png,1024,0.8056640625,1,1,1
232_276454_dwt_dct_wm.png,1024,0.8388671875,1,1,1
233_276538_dwt_dct_wm.png,1024,0.8662109375,1,1,1
234_276635_dwt_dct_wm.png,1024,0.8505859375,1,1,1
235_276720_dwt_dct_wm.png,1024,0.8505859375,1,1,1
236_276790_dwt_dct_wm.png,1024,0.88671875,1,1,1
237_277252_dwt_dct_wm.png,1024,0.8134765625,1,1,1
238_277661_dwt_dct_wm.png,1024,0.826171875,1,1,1
239_278322_dwt_dct_wm.png,1024,0.87890625,1,1,1
23_250506_dwt_dct_wm.png,1024,0.873046875,1,1,1
240_278343_dwt_dct_wm.png,1024,0.8447265625,1,1,1
241_278448_dwt_dct_wm.png,1024,0.8671875,1,1,1
242_278499_dwt_dct_wm.png,1024,0.8271484375,1,1,1
243_278712_dwt_dct_wm.png,1024,0.8701171875,1,1,1
244_278811_dwt_dct_wm.png,1024,0.8486328125,1,1,1
245_279109_dwt_dct_wm.png,1024,0.810546875,1,1,1
246_279323_dwt_dct_wm.png,1024,0.880859375,1,1,1
247_279353_dwt_dct_wm.png,1024,0.8291015625,1,1,1
248_279409_dwt_dct_wm.png,1024,0.791015625,1,1,1
249_279491_dwt_dct_wm.png,1024,0.8515625,1,1,1
24_250663_dwt_dct_wm.png,1024,0.826171875,1,1,1
250_280164_dwt_dct_wm.png,1024,0.8935546875,1,1,1
251_280246_dwt_dct_wm.png,1024,0.796875,1,1,1
252_280248_dwt_dct_wm.png,1024,0.8388671875,1,1,1
253_280326_dwt_dct_wm.png,1024,0.7939453125,1,1,1
254_280550_dwt_dct_wm.png,1024,0.8701171875,1,1,1
255_280579_dwt_dct_wm.png,1024,0.818359375,1,1,1
256_280653_dwt_dct_wm.png,1024,0.8076171875,1,1,1
257_280863_dwt_dct_wm.png,1024,0.7353515625,1,1,1
258_281022_dwt_dct_wm.png,1024,0.8466796875,1,1,1
259_281049_dwt_dct_wm.png,1024,0.8388671875,1,1,1
25_250921_dwt_dct_wm.png,1024,0.8701171875,1,1,1
260_281169_dwt_dct_wm.png,1024,0.888671875,1,1,1
261_281278_dwt_dct_wm.png,1024,0.884765625,1,1,1
262_281596_dwt_dct_wm.png,1024,0.865234375,1,1,1
263_281617_dwt_dct_wm.png,1024,0.859375,1,1,1
264_281683_dwt_dct_wm.png,1024,0.84765625,1,1,1
265_281839_dwt_dct_wm.png,1024,0.82421875,1,1,1
266_281947_dwt_dct_wm.png,1024,0.8740234375,1,1,1
