filename,rel_path,total_blocks,ratio_ones,decoded_bit,expected_bit,is_correct
15_249786.png,INSTRUCT_Pix2Pix\5\15_249786.png,1024,0.5791015625,1,1,1
160_267230.png,INSTRUCT_Pix2Pix\5\160_267230.png,1024,0.603515625,1,1,1
161_267400.png,INSTRUCT_Pix2Pix\5\161_267400.png,1024,0.548828125,1,1,1
162_267423.png,INSTRUCT_Pix2Pix\5\162_267423.png,1024,0.5517578125,1,1,1
163_267671.png,INSTRUCT_Pix2Pix\5\163_267671.png,1024,0.552734375,1,1,1
164_267888.png,INSTRUCT_Pix2Pix\5\164_267888.png,1024,0.5380859375,1,1,1
165_268342.png,INSTRUCT_Pix2Pix\5\165_268342.png,1024,0.5400390625,1,1,1
166_268457.png,INSTRUCT_Pix2Pix\5\166_268457.png,1024,0.5654296875,1,1,1
167_268475.png,INSTRUCT_Pix2Pix\5\167_268475.png,1024,0.5576171875,1,1,1
168_268486.png,INSTRUCT_Pix2Pix\5\168_268486.png,1024,0.544921875,1,1,1
169_268570.png,INSTRUCT_Pix2Pix\5\169_268570.png,1024,0.4951171875,0,1,0
16_249888.png,INSTRUCT_Pix2Pix\5\16_249888.png,1024,0.5546875,1,1,1
170_268592.png,INSTRUCT_Pix2Pix\5\170_268592.png,1024,0.572265625,1,1,1
171_268641.png,INSTRUCT_Pix2Pix\5\171_268641.png,1024,0.5302734375,1,1,1
172_268649.png,INSTRUCT_Pix2Pix\5\172_268649.png,1024,0.5341796875,1,1,1
173_268686.png,INSTRUCT_Pix2Pix\5\173_268686.png,1024,0.5693359375,1,1,1
174_269053.png,INSTRUCT_Pix2Pix\5\174_269053.png,1024,0.572265625,1,1,1
175_269135.png,INSTRUCT_Pix2Pix\5\175_269135.png,1024,0.5576171875,1,1,1
176_269160.png,INSTRUCT_Pix2Pix\5\176_269160.png,1024,0.548828125,1,1,1
177_269205.png,INSTRUCT_Pix2Pix\5\177_269205.png,1024,0.5771484375,1,1,1
178_269230.png,INSTRUCT_Pix2Pix\5\178_269230.png,1024,0.517578125,1,1,1
179_269231.png,INSTRUCT_Pix2Pix\5\179_269231.png,1024,0.5439453125,1,1,1
17_250085.png,INSTRUCT_Pix2Pix\5\17_250085.png,1024,0.5654296875,1,1,1
180_269246.png,INSTRUCT_Pix2Pix\5\180_269246.png,1024,0.55078125,1,1,1
181_269299.png,INSTRUCT_Pix2Pix\5\181_269299.png,1024,0.529296875,1,1,1
182_269304.png,INSTRUCT_Pix2Pix\5\182_269304.png,1024,0.642578125,1,1,1
183_269380.png,INSTRUCT_Pix2Pix\5\183_269380.png,1024,0.640625,1,1,1
184_269479.png,INSTRUCT_Pix2Pix\5\184_269479.png,1024,0.5712890625,1,1,1
185_269584.png,INSTRUCT_Pix2Pix\5\185_269584.png,1024,0.619140625,1,1,1
186_269798.png,INSTRUCT_Pix2Pix\5\186_269798.png,1024,0.4501953125,0,1,0
187_269876.png,INSTRUCT_Pix2Pix\5\187_269876.png,1024,0.5859375,1,1,1
188_269900.png,INSTRUCT_Pix2Pix\5\188_269900.png,1024,0.5537109375,1,1,1
189_270261.png,INSTRUCT_Pix2Pix\5\189_270261.png,1024,0.6240234375,1,1,1
18_250163.png,INSTRUCT_Pix2Pix\5\18_250163.png,1024,0.5390625,1,1,1
190_270281.png,INSTRUCT_Pix2Pix\5\190_270281.png,1024,0.5263671875,1,1,1
191_270313.png,INSTRUCT_Pix2Pix\5\191_270313.png,1024,0.51953125,1,1,1
192_270318.png,INSTRUCT_Pix2Pix\5\192_270318.png,1024,0.5673828125,1,1,1
193_270350.png,INSTRUCT_Pix2Pix\5\193_270350.png,1024,0.521484375,1,1,1
194_270584.png,INSTRUCT_Pix2Pix\5\194_270584.png,1024,0.4873046875,0,1,0
195_270633.png,INSTRUCT_Pix2Pix\5\195_270633.png,1024,0.5615234375,1,1,1
196_270657.png,INSTRUCT_Pix2Pix\5\196_270657.png,1024,0.53125,1,1,1
197_271017.png,INSTRUCT_Pix2Pix\5\197_271017.png,1024,0.5361328125,1,1,1
198_271255.png,INSTRUCT_Pix2Pix\5\198_271255.png,1024,0.5498046875,1,1,1
199_271346.png,INSTRUCT_Pix2Pix\5\199_271346.png,1024,0.5498046875,1,1,1
19_250180.png,INSTRUCT_Pix2Pix\5\19_250180.png,1024,0.52734375,1,1,1
1_248419.png,INSTRUCT_Pix2Pix\5\1_248419.png,1024,0.5595703125,1,1,1
200_271609.png,INSTRUCT_Pix2Pix\5\200_271609.png,1024,0.53515625,1,1,1
201_271927.png,INSTRUCT_Pix2Pix\5\201_271927.png,1024,0.5078125,1,1,1
202_271955.png,INSTRUCT_Pix2Pix\5\202_271955.png,1024,0.529296875,1,1,1
203_272020.png,INSTRUCT_Pix2Pix\5\203_272020.png,1024,0.591796875,1,1,1
204_272096.png,INSTRUCT_Pix2Pix\5\204_272096.png,1024,0.5478515625,1,1,1
205_272547.png,INSTRUCT_Pix2Pix\5\205_272547.png,1024,0.537109375,1,1,1
206_272625.png,INSTRUCT_Pix2Pix\5\206_272625.png,1024,0.5400390625,1,1,1
207_272740.png,INSTRUCT_Pix2Pix\5\207_272740.png,1024,0.572265625,1,1,1
208_272882.png,INSTRUCT_Pix2Pix\5\208_272882.png,1024,0.55078125,1,1,1
209_273005.png,INSTRUCT_Pix2Pix\5\209_273005.png,1024,0.5341796875,1,1,1
20_250309.png,INSTRUCT_Pix2Pix\5\20_250309.png,1024,0.4892578125,0,1,0
210_273258.png,INSTRUCT_Pix2Pix\5\210_273258.png,1024,0.53515625,1,1,1
211_273290.png,INSTRUCT_Pix2Pix\5\211_273290.png,1024,0.4736328125,0,1,0
